Sample,Protein,Total Area
c2b3_17-R1,sp|Q41635|FATB_UMBCA,129741
c2b3_17-R1,sp|Q6F7B8|ACR1_ACIAD,2766
c2b3_17-R1,tr|A1U2T0|A1U2T0_MARHV,160903
c2b3_17-R1,tr|A1U3L3|A1U3L3_MARHV,2752
c2b3_17-R2,sp|P27250|AHR_ECOLI,7846
c2b3_17-R2,sp|P69451|LCFA_ECOLI,39194
c2b3_17-R2,sp|Q41635|FATB_UMBCA,145453
c2b3_17-R2,sp|Q6F7B8|ACR1_ACIAD,3252
c2b3_17-R2,tr|A1U2T0|A1U2T0_MARHV,186287
c2b3_17-R2,tr|A1U3L3|A1U3L3_MARHV,315
c2b3_17-R3,sp|P27250|AHR_ECOLI,7846
c2b3_17-R3,sp|P69451|LCFA_ECOLI,40577
c2b3_17-R3,sp|Q41635|FATB_UMBCA,148249
c2b3_17-R3,sp|Q6F7B8|ACR1_ACIAD,2473
c2b3_17-R3,tr|A1U2T0|A1U2T0_MARHV,163056
c2b3_17-R3,tr|A1U3L3|A1U3L3_MARHV,446
c2b3_19-R1,sp|P27250|AHR_ECOLI,7300
c2b3_19-R1,sp|P69451|LCFA_ECOLI,3380
c2b3_19-R1,sp|Q41635|FATB_UMBCA,114318
c2b3_19-R1,sp|Q6F7B8|ACR1_ACIAD,651
c2b3_19-R1,tr|A1U2T0|A1U2T0_MARHV,140726
c2b3_19-R1,tr|A1U3L3|A1U3L3_MARHV,1209
c2b3_19-R2,sp|P27250|AHR_ECOLI,6225
c2b3_19-R2,sp|P69451|LCFA_ECOLI,2592
c2b3_19-R2,sp|Q41635|FATB_UMBCA,112921
c2b3_19-R2,sp|Q6F7B8|ACR1_ACIAD,2163
c2b3_19-R2,tr|A1U2T0|A1U2T0_MARHV,131983
c2b3_19-R2,tr|A1U3L3|A1U3L3_MARHV,0
c2b3_19-R3,sp|P27250|AHR_ECOLI,6533
c2b3_19-R3,sp|P69451|LCFA_ECOLI,2532
c2b3_19-R3,sp|Q41635|FATB_UMBCA,112486
c2b3_19-R3,sp|Q6F7B8|ACR1_ACIAD,0
c2b3_19-R3,tr|A1U2T0|A1U2T0_MARHV,126356
c2b3_19-R3,tr|A1U3L3|A1U3L3_MARHV,1872
c2b3_20-R1,sp|P27250|AHR_ECOLI,4434
c2b3_20-R1,sp|P69451|LCFA_ECOLI,677233
c2b3_20-R1,sp|Q41635|FATB_UMBCA,261506
c2b3_20-R1,sp|Q6F7B8|ACR1_ACIAD,2060
c2b3_20-R1,tr|A1U2T0|A1U2T0_MARHV,389797
c2b3_20-R1,tr|A1U3L3|A1U3L3_MARHV,3005
