Study ID,Study Name,Study Contact,Line ID,Line Name,Control,Strain,Carbon Source,Carbon Labeling,Line Experimenter,Line Contact,Media,Protocol ID,Protocol Name,Assay ID,Assay Name,Measurement Type,Compartment,Measurement Updated,X Units,Y Units,0.0,27.0
47082,Ajinomoto Cycle 1,,47187,b3-24-3,F,JBEI-17832,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48278,b3-24-3,A1U2T0_MARHV,,2017-09-06 22:22:23.380505+00:00,hours,,3946.0,
47082,Ajinomoto Cycle 1,,47186,b3-24-2,F,JBEI-17832,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48277,b3-24-2,A1U2T0_MARHV,,2017-09-06 22:22:23.176812+00:00,hours,,617.0,
47082,Ajinomoto Cycle 1,,47193,b3-02-3,F,JBEI-17789,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48242,b3-02-3,LCFA_ECOLI,,2017-09-06 22:22:16.152488+00:00,hours,,144772.0,
47082,Ajinomoto Cycle 1,,47181,b3-21-3,F,JBEI-17827,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48272,b3-21-3,FATB_UMBCA,,2017-09-06 22:22:22.047693+00:00,hours,,255132.0,
47082,Ajinomoto Cycle 1,,47185,b3-24-1,F,JBEI-17832,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48276,b3-24-1,LCFA_ECOLI,,2017-09-06 22:22:22.881486+00:00,hours,,836569.0,
47082,Ajinomoto Cycle 1,,47187,b3-24-3,F,JBEI-17832,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48278,b3-24-3,ACR1_ACIAD,,2017-09-06 22:22:23.347468+00:00,hours,,58137.0,
47082,Ajinomoto Cycle 1,,47201,b3-9017-2,F,JBEI-9017,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48280,b3-9017-2,LCFA_ECOLI,,2017-09-06 22:22:23.700953+00:00,hours,,23955.0,
47082,Ajinomoto Cycle 1,,47187,b3-24-3,F,JBEI-17832,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48278,b3-24-3,LCFA_ECOLI,,2017-09-06 22:22:23.278503+00:00,hours,,888582.0,
47082,Ajinomoto Cycle 1,,47187,b3-24-3,F,JBEI-17832,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48278,b3-24-3,FATB_UMBCA,,2017-09-06 22:22:23.309152+00:00,hours,,280447.0,
47082,Ajinomoto Cycle 1,,47186,b3-24-2,F,JBEI-17832,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48277,b3-24-2,ACR1_ACIAD,,2017-09-06 22:22:23.138084+00:00,hours,,57310.0,
