Line Name,Protein Name,Total Area
C2-S3-B2.5-R2,YjgB,344.0
C2-S3-B2.5-R3,YjgB,0.0
C2-S3-B2.5-R1-IPTG0.5,YjgB,252.0
C2-S3-B2.5-R2-IPTG0.5,YjgB,972.0
C2-S3-B2.5-R3-IPTG0.5,YjgB,469.0
C2-S3-B2.5-R1-IPTG1.0,YjgB,538.0
C2-S3-B2.5-R2-IPTG1.0,YjgB,924.0
C2-S3-B2.5-R3-IPTG1.0,YjgB,0.0
C2-S4-B2.5-R1-IPTG0.5,YjgB,503.0
C2-S4-B2.5-R2-IPTG0.5,YjgB,853.0
C2-S4-B2.5-R3-IPTG0.5,YjgB,491.0
C2-S4-B2.5-R1-IPTG1.0,YjgB,719.0
C2-S4-B2.5-R2-IPTG1.0,YjgB,1055.0
C2-S4-B2.5-R3-IPTG1.0,YjgB,0.0
C2-S7-B2.5-R1,YjgB,0.0
C2-S7-B2.5-R2,YjgB,396.0
C2-S7-B2.5-R3,YjgB,819.0
C2-S9-B2.5-R1,YjgB,1272.0
C2-S9-B2.5-R2,YjgB,1586.0
C2-S9-B2.5-R3,YjgB,1544.0
C1-S11-B2.5-R1,YjgB,1085.0
C1-S11-B2.5-R2,YjgB,0.0
C1-S11-B2.5-R3,YjgB,493.0
C1-S11-B2.5-R1-IPTG0.5,YjgB,894.0
C1-S11-B2.5-R2-IPTG0.5,YjgB,0.0
C1-S11-B2.5-R3-IPTG0.5,YjgB,0.0
C2-S18-B2.5-R1,YjgB,1720.0
C2-S18-B2.5-R2,YjgB,2062.0
C2-S18-B2.5-R3,YjgB,3807.0
C0-S9017-B2.5-R1,YjgB,674.0
C0-S9017-B2.5-R2,YjgB,881.0
C0-S9017-B2.5-R3,YjgB,602.0
C1-S1-B1.1-R1,FadD,111883.0
C1-S1-B1.1-R2,FadD,109006.0
C1-S2-B1.1-R1,FadD,106977.0
C1-S2-B1.1-R2,FadD,110415.0
C1-S4-B1.1-R1,FadD,79192.0
C1-S4-B1.1-R2,FadD,84364.0
C1-S8-B1.1-R1,FadD,165598.0
C1-S8-B1.1-R2,FadD,169995.0
C1-S9-B1.1-R1,FadD,745982.0
C1-S9-B1.1-R2,FadD,810667.0
C1-S11-B1.1-R1,FadD,131484.0
C1-S11-B1.1-R2,FadD,127385.0
C1-S12-B1.1-R1,FadD,516401.0
C1-S12-B1.1-R2,FadD,530998.0
C1-S15-B1.1-R1,FadD,164171.0
C1-S15-B1.1-R2,FadD,240185.0
C1-S16-B1.1-R1,FadD,115367.0
C1-S16-B1.1-R2,FadD,84540.0
C1-S22-B1.1-R1,FadD,608802.0
C1-S22-B1.1-R2,FadD,586476.0
C0-S9017-B1.1-R1,FadD,1027.0
C0-S9017-B1.1-R2,FadD,0.0
C1-S11-B1.2-R1,FadD,87148.0
C1-S11-B1.2-R2,FadD,78968.0
C1-S11-B1.2-R3,FadD,84297.0
C1-S19-B1.2-R1,FadD,163117.0
C1-S19-B1.2-R2,FadD,163881.0
C1-S19-B1.2-R3,FadD,153324.0
C1-S25-B1.2-R1,FadD,160436.0
C1-S25-B1.2-R2,FadD,161468.0
C1-S25-B1.2-R3,FadD,160094.0
C1-S26-B1.2-R1,FadD,393379.0
C1-S26-B1.2-R2,FadD,411022.0
C1-S26-B1.2-R3,FadD,411484.0
C1-S27-B1.2-R1,FadD,874810.0
C1-S27-B1.2-R2,FadD,937369.0
C1-S27-B1.2-R3,FadD,1051744.0
C1-S28-B1.2-R1,FadD,140030.0
C1-S28-B1.2-R2,FadD,114532.0
C1-S28-B1.2-R3,FadD,148197.0
C1-S29-B1.2-R1,FadD,330087.0
C1-S29-B1.2-R2,FadD,340855.0
C1-S29-B1.2-R3,FadD,327600.0
C1-S30-B1.2-R1,FadD,926442.0
C1-S30-B1.2-R2,FadD,978076.0
C1-S30-B1.2-R3,FadD,1009182.0
C1-S31-B1.2-R1,FadD,93821.0
C1-S31-B1.2-R2,FadD,96694.0
C1-S31-B1.2-R3,FadD,96589.0
C1-S32-B1.2-R1,FadD,223440.0
C1-S32-B1.2-R2,FadD,212751.0
C1-S32-B1.2-R3,FadD,217714.0
C1-S33-B1.2-R1,FadD,180662.0
C1-S33-B1.2-R2,FadD,176053.0
C1-S33-B1.2-R3,FadD,176585.0
C1-S34-B1.2-R1,FadD,66185.0
C1-S34-B1.2-R2,FadD,66880.0
C1-S34-B1.2-R3,FadD,68351.0
C1-S35-B1.2-R1,FadD,1178582.0
C1-S35-B1.2-R2,FadD,1211635.0
C1-S35-B1.2-R3,FadD,1207972.0
C1-S36-B1.2-R1,FadD,159164.0
C1-S36-B1.2-R2,FadD,146173.0
C1-S36-B1.2-R3,FadD,155123.0
C0-S9017-B1.2-R1,FadD,15325.0
C0-S9017-B1.2-R2,FadD,21035.0
C0-S9017-B1.2-R3,FadD,20178.0
C1-S1-B1.3-R1,FadD,94257.0
C1-S1-B1.3-R2,FadD,86387.0
C1-S1-B1.3-R3,FadD,92864.0
C1-S2-B1.3-R1,FadD,97136.0
C1-S2-B1.3-R2,FadD,107045.0
C1-S2-B1.3-R3,FadD,144772.0
C1-S3-B1.3-R1,FadD,355038.0
C1-S3-B1.3-R2,FadD,369437.0
C1-S3-B1.3-R3,FadD,337160.0
C1-S5-B1.3-R1,FadD,83145.0
C1-S5-B1.3-R2,FadD,83962.0
C1-S5-B1.3-R3,FadD,90099.0
C1-S6-B1.3-R1,FadD,167575.0
C1-S6-B1.3-R2,FadD,186630.0
C1-S6-B1.3-R3,FadD,213883.0
C1-S7-B1.3-R1,FadD,145026.0
C1-S7-B1.3-R2,FadD,142235.0
C1-S7-B1.3-R3,FadD,136986.0
C1-S8-B1.3-R1,FadD,123104.0
C1-S8-B1.3-R2,FadD,125883.0
C1-S8-B1.3-R3,FadD,124508.0
C1-S10-B1.3-R1,FadD,106078.0
C1-S10-B1.3-R2,FadD,102990.0
C1-S10-B1.3-R3,FadD,100254.0
C1-S13-B1.3-R1,FadD,198841.0
C1-S13-B1.3-R2,FadD,196947.0
C1-S13-B1.3-R3,FadD,208068.0
C1-S16-B1.3-R1,FadD,99672.0
C1-S16-B1.3-R2,FadD,94673.0
C1-S16-B1.3-R3,FadD,93288.0
C1-S18-B1.3-R1,FadD,303399.0
C1-S18-B1.3-R2,FadD,290265.0
C1-S18-B1.3-R3,FadD,309202.0
C1-S21-B1.3-R1,FadD,203935.0
C1-S21-B1.3-R2,FadD,201775.0
C1-S21-B1.3-R3,FadD,208120.0
C1-S23-B1.3-R1,FadD,405930.0
C1-S23-B1.3-R2,FadD,431874.0
C1-S23-B1.3-R3,FadD,420505.0
C1-S24-B1.3-R1,FadD,836569.0
C1-S24-B1.3-R2,FadD,911111.0
C1-S24-B1.3-R3,FadD,888582.0
C0-S9017-B1.3-R1,FadD,22016.0
C0-S9017-B1.3-R2,FadD,23955.0
C0-S9017-B1.3-R3,FadD,23428.0
C1-S11-B2.3-R1,FadD,135925.0
C1-S11-B2.3-R2,FadD,137966.0
C1-S11-B2.3-R3,FadD,135445.0
C1-S32-B2.3-R1,FadD,411963.0
C1-S32-B2.3-R2,FadD,411337.0
C1-S32-B2.3-R3,FadD,421784.0
C0-S9017-B2.3-R1,FadD,41253.0
C0-S9017-B2.3-R2,FadD,43644.0
C0-S9017-B2.3-R3,FadD,44733.0
C2-S10-B2.3-R1,FadD,97378.0
C2-S10-B2.3-R2,FadD,98642.0
C2-S10-B2.3-R3,FadD,95122.0
C2-S11-B2.3-R1,FadD,174649.0
C2-S11-B2.3-R2,FadD,154436.0
C2-S11-B2.3-R3,FadD,154485.0
C2-S15-B2.3-R1,FadD,113120.0
